round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
26814040,YPxyZ/kQnxnGJT5DB9tEDB1EPCy2DbzrVlVaKaq6MGg=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,137006317,31566704
26814040,lSmNvnTX7tQUrJnGg8hX2TnHUsScsp2visD2hNKl+Xo=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,136872842,31566704
26814055,XTT2qhoKAV7EsWBjmhCmCr3TNpZs92Zep2i5Suu9ClU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,26411100,0,7235669,31566704
26814056,peQw5f4+itZBkGFEaG4Ah87MAdIvW4QwUSMYHS7oxDw=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,11319100,0,3100976,31566704
26814056,Wnpx0bWR6TyCpg8oYAkHx3yShzT2FTRxtpMVtS+Vh/I=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,184437000,0,50524911,31566704
26814058,yR/iStoB7JHzjLZLOVfsJwbyPajQqa+nOUNSG/Jy1GQ=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,146768000,0,40201256,31566704
26814058,dhxdKw/TTAhu7JaPPXhBvlzzTuQom4Ao7rR5b29DUSs=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,131064799,0,35896573,31566704
26814059,MxUumf5slLv64KxXn9EMmXkxoWGWzGba8jHaxhkw6Ds=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,44845900,0,12290828,312769
26814059,IHhNYtTZ4OU3njEfx7/Hk63fwL9vBLsw3P8dzQ3ngBU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,58554300,0,16023028,31566704
26814059,yY6iyTvSEv56AOs0JPhyqhvKmRrL9yGw1ByBnVmsShE=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,175663100,0,48061634,31566704
26814059,mDKpL4C+/V4tXammAeDRJQr5CjDChVdxCJv21W6zMFg=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,248856200,0,68068095,31566704
